23.2, 25.4, 30
24, 26.3, 31.2
23.9, 26.5, 31.1
26.3, 29, 33.5
26.5, 29, 34
26.8, 29.7, 34.7
26.8, 29.7, 34.5
27.6, 30, 35
27.6, 30, 35.1
28.5, 30.7, 36.2
28.4, 31, 36.2
28.7, 31, 36.2
29.1, 31.5, 36.4
29.5, 32, 37.3
29.4, 32, 37.2
29.4, 32, 37.2
30.4, 33, 38.3
30.4, 33, 38.5
30.9, 33.5, 38.6
31, 33.5, 38.7
31.3, 34, 39.5
31.4, 34, 39.2
31.5, 34.5, 39.7
31.8, 35, 40.6
31.9, 35, 40.5
31.8, 35, 40.9
32, 35, 40.6
32.7, 36, 41.5
32.8, 36, 41.6
33.5, 37, 42.6
35, 38.5, 44.1
35, 38.5, 44
36.2, 39.5, 45.3
37.4, 41, 45.9
38, 41, 46.5
12.9, 14.1, 16.2
16.5, 18.2, 20.3
17.5, 18.8, 21.2
18.2, 19.8, 22.2
18.6, 20, 22.2
19, 20.5, 22.8
19.1, 20.8, 23.1
19.4, 21, 23.7
20.4, 22, 24.7
20.5, 22, 24.3
20.5, 22.5, 25.3
21, 22.5, 25
21.1, 22.5, 25
22, 24, 27.2
22, 23.4, 26.7
22.1, 23.5, 26.8
23.6, 25.2, 27.9
24, 26, 29.2
25, 27, 30.6
29.5, 31.7, 35
23.6, 26, 28.7
24.1, 26.5, 29.3
25.6, 28, 30.8
28.5, 31, 34
33.7, 36.4, 39.6
37.3, 40, 43.5
13.5, 14.7, 16.5
14.3, 15.5, 17.4
16.3, 17.7, 19.8
17.5, 19, 21.3
18.4, 20, 22.4
19, 20.7, 23.2
19, 20.7, 23.2
19.8, 21.5, 24.1
21.2, 23, 25.8
23, 25, 28
24, 26, 29
7.5, 8.4, 8.8
12.5, 13.7, 14.7
13.8, 15, 16
15, 16.2, 17.2
15.7, 17.4, 18.5
16.2, 18, 19.2
16.8, 18.7, 19.4
17.2, 19, 20.2
17.8, 19.6, 20.8
18.2, 20, 21
19, 21, 22.5
19, 21, 22.5
19, 21, 22.5
19.3, 21.3, 22.8
20, 22, 23.5
20, 22, 23.5
20, 22, 23.5
20, 22, 23.5
20, 22, 23.5
20.5, 22.5, 24
20.5, 22.5, 24
20.7, 22.7, 24.2
21, 23, 24.5
21.5, 23.5, 25
22, 24, 25.5
22, 24, 25.5
22.6, 24.6, 26.2
23, 25, 26.5
23.5, 25.6, 27
25, 26.5, 28
25.2, 27.3, 28.7
25.4, 27.5, 28.9
25.4, 27.5, 28.9
25.4, 27.5, 28.9
25.9, 28, 29.4
26.9, 28.7, 30.1
27.8, 30, 31.6
30.5, 32.8, 34
32, 34.5, 36.5
32.5, 35, 37.3
34, 36.5, 39
34, 36, 38.3
34.5, 37, 39.4
34.6, 37, 39.3
36.5, 39, 41.4
36.5, 39, 41.4
36.6, 39, 41.3
36.9, 40, 42.3
37, 40, 42.5
37, 40, 42.4
37.1, 40, 42.5
39, 42, 44.6
39.8, 43, 45.2
40.1, 43, 45.5
40.2, 43.5, 46
41.1, 44, 46.6
30, 32.3, 34.8
31.7, 34, 37.8
32.7, 35, 38.8
34.8, 37.3, 39.8
35.5, 38, 40.5
36, 38.5, 41
40, 42.5, 45.5
40, 42.5, 45.5
40.1, 43, 45.8
42, 45, 48
43.2, 46, 48.7
44.8, 48, 51.2
48.3, 51.7, 55.1
52, 56, 59.7
56, 60, 64
56, 60, 64
59, 63.4, 68
9.3, 9.8, 10.8
10, 10.5, 11.6
10.1, 10.6, 11.6
10.4, 11, 12
10.7, 11.2, 12.4
10.8, 11.3, 12.6
11.3, 11.8, 13.1
11.3, 11.8, 13.1
11.4, 12, 13.2
11.5, 12.2, 13.4
11.7, 12.4, 13.5
12.1, 13, 13.8
13.2, 14.3, 15.2
13.8, 15, 16.2
